objectid,uuid,iiifthumburl,iiifurl,title,attribution,attributioninverted,displaydate,beginyear,endyear,visualbrowsertimespan,medium,classification,subclassification,visualbrowserclassification,accessionnum,width,height,maxpixels,artist_name,nationality,vis_nationality,artist_born,artist_died,art_style,art_theme,local_path
1189,f2087521-95a8-42e9-b383-712221c3b31b,"https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b,Madonna and Child,Follower of Fra Filippo Lippi and Pesellino,"Lippi, Fra Filippo, and Pesellino, Follower of",c. 1470,1470.0,1470.0,1401 to 1500,tempera on poplar panel,Painting,,painting,1942.9.50,4477,6585,,Anonymous Artist,Unknown,Other,,,Renaissance,religious,/kaggle/working/nga_images/1189.jpg
1190,6e88a454-54bc-4e01-8f42-858204240740,"https://api.nga.gov/iiif/6e88a454-54bc-4e01-8f42-858204240740/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/6e88a454-54bc-4e01-8f42-858204240740,Portrait of a Young Woman,Florentine 16th Century,Florentine 16th Century,1530/1540,1530.0,1540.0,1501 to 1550,oil on panel,Painting,,painting,1942.9.51,11812,14886,,Florentine 16th Century,Italian,Italian,1500.0,1599.0,Renaissance,portrait,/kaggle/working/nga_images/1190.jpg
1191,fd006ab2-888f-485d-b909-eb2d56c4a4f5,"https://api.nga.gov/iiif/fd006ab2-888f-485d-b909-eb2d56c4a4f5/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/fd006ab2-888f-485d-b909-eb2d56c4a4f5,A Farrier's Shop,Paulus Potter,"Potter, Paulus",1648,1648.0,1648.0,1601 to 1650,oil on panel,Painting,,painting,1942.9.52,5833,6182,,"Potter, Paulus",Dutch,Dutch,1625.0,1654.0,Baroque,genre,/kaggle/working/nga_images/1191.jpg
1192,7afeb3aa-95f4-4d07-b785-edfea8189e08,"https://api.nga.gov/iiif/7afeb3aa-95f4-4d07-b785-edfea8189e08/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/7afeb3aa-95f4-4d07-b785-edfea8189e08,Bianca Maria Sforza,Ambrogio de Predis,"Predis, Ambrogio de",probably 1493,1493.0,1493.0,1401 to 1500,oil on poplar panel,Painting,,painting,1942.9.53,16729,26006,,"Predis, Ambrogio de",Italian,Italian,1455.0,1508.0,Renaissance,portrait,/kaggle/working/nga_images/1192.jpg
1193,540136ab-88fa-429e-9996-26902dd06662,"https://api.nga.gov/iiif/540136ab-88fa-429e-9996-26902dd06662/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/540136ab-88fa-429e-9996-26902dd06662,Rest,Pierre Puvis de Chavannes,"Puvis de Chavannes, Pierre",c. 1863,1863.0,1863.0,1851 to 1875,oil on canvas,Painting,,painting,1942.9.54,18960,13671,,"Puvis de Chavannes, Pierre",French,French,1824.0,1898.0,,allegory,/kaggle/working/nga_images/1193.jpg
1194,a3ca76a4-9323-43c1-84d3-be5b7d976bd5,"https://api.nga.gov/iiif/a3ca76a4-9323-43c1-84d3-be5b7d976bd5/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/a3ca76a4-9323-43c1-84d3-be5b7d976bd5,Work,Pierre Puvis de Chavannes,"Puvis de Chavannes, Pierre",c. 1863,1863.0,1863.0,1851 to 1875,oil on canvas,Painting,,painting,1942.9.55,18966,13752,,"Puvis de Chavannes, Pierre",French,French,1824.0,1898.0,,allegory,/kaggle/working/nga_images/1194.jpg
1195,4a266eb3-3e68-4903-b5a3-6513110d3d0b,"https://api.nga.gov/iiif/4a266eb3-3e68-4903-b5a3-6513110d3d0b/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/4a266eb3-3e68-4903-b5a3-6513110d3d0b,David Anderson,Sir Henry Raeburn,"Raeburn, Henry, Sir",1790,1790.0,1790.0,1776 to 1800,oil on canvas,Painting,,painting,1942.9.56,5088,6684,,"Raeburn, Henry, Sir",Scottish,Scottish,1756.0,1823.0,,portrait,/kaggle/working/nga_images/1195.jpg
1207,5ba544cc-c2d9-4991-92fb-4fee13768524,"https://api.nga.gov/iiif/5ba544cc-c2d9-4991-92fb-4fee13768524/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/5ba544cc-c2d9-4991-92fb-4fee13768524,Portrait of a Lady with an Ostrich-Feather Fan,Rembrandt van Rijn,Rembrandt van Rijn,c. 1656/1658,1656.0,1658.0,1651 to 1700,oil on canvas transferred to canvas,Painting,,painting,1942.9.68,17330,21073,,Rembrandt van Rijn,Dutch,Dutch,1606.0,1669.0,Baroque,portrait,/kaggle/working/nga_images/1207.jpg
1209,99356b71-7652-482d-87c2-b99b94382742,"https://api.nga.gov/iiif/99356b71-7652-482d-87c2-b99b94382742/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/99356b71-7652-482d-87c2-b99b94382742,Portrait of Rembrandt,Rembrandt Workshop,Rembrandt Workshop,1650,1650.0,1650.0,1601 to 1650,oil on canvas,Painting,,painting,1942.9.70,17736,21726,,Dutch 17th Century,Dutch,Dutch,1600.0,1699.0,Baroque,portrait,/kaggle/working/nga_images/1209.jpg
1216,a43b864d-5032-4382-92de-ec5d8d85793d,"https://api.nga.gov/iiif/a43b864d-5032-4382-92de-ec5d8d85793d/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/a43b864d-5032-4382-92de-ec5d8d85793d,Mrs. Alexander Blair,George Romney,"Romney, George",1787-1789,1787.0,1789.0,1776 to 1800,oil on canvas,Painting,,painting,1942.9.77,17839,22677,,"Romney, George",British,British,1734.0,1802.0,,portrait,/kaggle/working/nga_images/1216.jpg
